Grid Position,Name,Type,Classification,System Type,System Name,Orbital Position,Star Size Rank,Planet Size Rank,Spectral Type,Evolutionary Stage,Star Special Characteristics,Size-Based Classification,Composition-Based Classification,Habitability,Planet Special Characteristics,Orbit Number,Distance from Star (AU),X,Y,Quadrant_16,Old_Name,Old_Name_Esperanto,Esperanto_Name,Meaning,Planet Classification Codes,Planet Classification Descriptions
378-279,Stelideto,Planet,OA-P-FC-BH,Solitary Star System,SteloOrbito,8,,0.13,,,,,Ferrocore,Pioneera,,8.0,7.5,378,279,12,,SteloFajroSteloPlanedo,Stelideto,star — minor moon,,
378-279,Fajregumo-Nova,Planet,BH-DS-I-Q,Solitary Star System,SteloOrbito,9,,0.13,,,,Cryo-Giant,Hydro-Realm,,,9.0,8.5,378,279,12,,FajroFireSistemoPlanedo,Fajregumo-Nova,fire — new/variant,,
378-279,Akvegujo-Novego,Planet,MM-I-P-MS,Solitary Star System,SteloOrbito,10,,0.13,,,,Cryo-Giant,,,Mirage Moons,10.0,9.5,378,279,12,,AkvoLumoOrbitoPlanedo,Akvegujo-Novego,water — new/giant,,
378-279,Ventejo-Novego,Planet,TL-C-W-CI-V,Solitary Star System,SteloOrbito,11,,1.95,,,,Terraclade,,Nihility,Chronos Isles,11.0,10.5,378,279,12,,VentoLumoGalaksioPlanedo,Ventejo-Novego,wind — new/giant,,
378-279,Ventumo-Novego,Planet,V-RG-P-NS,Solitary Star System,SteloOrbito,12,,0.13,,,,,,Nihility,,12.0,11.5,378,279,12,,NoktoVentoUniversoPlanedo,Ventumo-Novego,wind — new/giant,,
195-307,Marideto-Noveto,Planet,MS-BH-T-W,Binary Star System,LumoUniverso,1,,0.13,,,,,Hydro-Realm,,,1.0,0.5,195,307,10,,MaroStarGalaksioPlanedo,Marideto-Noveto,sea — new/small,,
195-307,Akvetujo-Novego,Planet,D-P-CI-NW,Binary Star System,LumoUniverso,2,,0.13,,,,Cryo-Giant,,,Chronos Isles,2.0,1.5,195,307,10,,AkvoCieloGalaksioPlanedo,Akvetujo-Novego,water — new/giant,,
195-307,Montegumo-Noveto,Planet,TL-MM-D-I,Binary Star System,LumoUniverso,3,,1.95,,,,Terraclade,,,Mirage Moons,3.0,2.5,195,307,10,,MontoWaterSistemoPlanedo,Montegumo-Noveto,mountain — new/small,,
195-307,Maregumo-Noveto,Planet,NS-FL-LS-CI-NW,Binary Star System,LumoUniverso,4,,2.47,,,,Cryo-Giant,,Pioneera,Chronos Isles,4.0,3.5,195,307,10,,MaroLightAeroPlanedo,Maregumo-Noveto,sea — new/small,,
195-307,Ventegujo-Novego,Planet,WB-RG-CI-S-OA,Binary Star System,LumoUniverso,5,,0.13,,,,Cryo-Giant,Oceanara,,Chronos Isles,5.0,4.5,195,307,10,,VentoSunAeroPlanedo,Ventegujo-Novego,wind — new/giant,,
195-307,Montetaro-Noveto,Planet,C-MM-WB-ES,Binary Star System,LumoUniverso,6,,0.13,,,,,,Elysian Sphere,Mirage Moons,6.0,5.5,195,307,10,,MontoSkyOrbitoPlanedo,Montetaro-Noveto,mountain — new/small,,
195-307,Maretaro-Noveto,Planet,C-CI-WB-FL-DS,Binary Star System,LumoUniverso,7,,0.13,,,,Cryo-Giant,Aridane,Pioneera,Chronos Isles,7.0,6.5,195,307,10,,MaroAkvoSistemoPlanedo,Maretaro-Noveto,sea — new/small,,
195-307,Ventetujo-Novego,Planet,Q-S-LS-CI-Mg,Binary Star System,LumoUniverso,8,,2.47,,,,Cryo-Giant,,,Chronos Isles,8.0,7.5,195,307,10,,VentoStarAeroPlanedo,Ventetujo-Novego,wind — new/giant,,
195-307,Akvegaro-Novego,Planet,MS-W-V-ES,Binary Star System,LumoUniverso,9,,0.13,,,,,,Elysian Sphere,,9.0,8.5,195,307,10,,CieloAkvoOrbitoPlanedo,Akvegaro-Novego,water — new/giant,,
245-3,Akvejaro-Novego,Planet,Mg-Q-DS-BH,Trinary Star System,SteloGalaksio,1,,0.13,,,,,Hydro-Realm,,,1.0,0.5,245,3,3,,AkvoCieloAeroPlanedo,Akvejaro-Novego,water — new/giant,,
245-3,Stelegumo,Planet,I-FC-T-S-CI,Trinary Star System,SteloGalaksio,2,,0.13,,,,Cryo-Giant,Ferrocore,Pioneera,Chronos Isles,2.0,1.5,245,3,3,,SteloFajroPlanedoPlanedo,Stelegumo,star — great energy form,,
155-135,Astregejo-Noveto,Planet,MS-C-NS-CR-NW,Binary Star System,NoktoSistemo,1,,0.13,,,,,Carborane,,,1.0,0.5,155,135,6,NoktoSkyAeroPlanedo,Nokto [155-135],Astregejo-Noveto,celestial body — new/small,,
155-135,Astrujo-Novaro,Planet,C-T-I-BH,Binary Star System,NoktoSistemo,2,,0.13,,,,Cryo-Giant,Hydro-Realm,,,2.0,1.5,155,135,6,NoktoMontoOrbitoPlanedo,Nokto [155-135],Astrujo-Novaro,celestial body — new/collection,,
155-135,Astraro-Novaro,Planet,MS-TL-Q-FL-NW,Binary Star System,NoktoSistemo,3,,1.95,,,,Terraclade,,Pioneera,,3.0,2.5,155,135,6,VentoFireOrbitoPlanedo,Nokto [155-135],Astraro-Novaro,celestial body — new/collection,,
359-353,Maregejo-Noveto,Planet,C-Mg-V-MS-RG,Binary Star System,MaroKosmo,1,,0.13,,,,,,Nihility,,1.0,0.5,359,353,16,TeroMaroSteloPlanedo,Maro [359-353],Maregejo-Noveto,sea — new/small,,
359-353,Marujo-Novaro,Planet,RG-WB-PR-DS-C,Binary Star System,MaroKosmo,2,,0.13,,,,Proto-Realm,Aridane,,,2.0,1.5,359,353,16,MaroStarUniversoPlanedo,Maro [359-353],Marujo-Novaro,sea — new/collection,,
359-353,Mararo-Novaro,Planet,I-NW-OA-PR-T,Binary Star System,MaroKosmo,3,,0.13,,,,Proto-Realm,Oceanara,,,3.0,2.5,359,353,16,LumoAkvoPlanedoPlanedo,Maro [359-353],Mararo-Novaro,sea — new/collection,,
359-353,Marido-Novaro,Planet,WB-MS-H-S-OA,Binary Star System,MaroKosmo,4,,0.13,,,,,Hydro-Realm,,,4.0,3.5,359,353,16,AkvoFireOrbitoPlanedo,Maro [359-353],Marido-Novaro,sea — new/collection,,
359-353,Marego-Novaro,Planet,W-V-WB-CI,Binary Star System,MaroKosmo,5,,0.13,,,,Cryo-Giant,,Nihility,Chronos Isles,5.0,4.5,359,353,16,SteloAkvoPlanedoPlanedo,Maro [359-353],Marego-Novaro,sea — new/collection,,
359-353,Mareto-Novaro,Planet,TL-CI-LS-Mg-NT,Binary Star System,MaroKosmo,6,,2.47,,,,Terraclade,,,Chronos Isles,6.0,5.5,359,353,16,SteloMoonSistemoPlanedo,Maro [359-353],Mareto-Novaro,sea — new/collection,,
359-353,Marejo-Novaro,Planet,FC-ES-C-MM-OA,Binary Star System,MaroKosmo,7,,0.13,,,,,Ferrocore,Elysian Sphere,Mirage Moons,7.0,6.5,359,353,16,LumoWaterSistemoPlanedo,Maro [359-353],Marejo-Novaro,sea — new/collection,,
359-353,Marumo-Novaro,Planet,NT-D-FC-MM-LS,Binary Star System,MaroKosmo,8,,2.47,,,,Nebulae Titan,Ferrocore,Pioneera,Mirage Moons,8.0,7.5,359,353,16,VentoWaterGalaksioPlanedo,Maro [359-353],Marumo-Novaro,sea — new/collection,,
359-353,Maregujo-Novaro,Planet,Mg-PR-TL-RG-DS,Binary Star System,MaroKosmo,9,,1.95,,,,Proto-Realm,Aridane,,,9.0,8.5,359,353,16,CieloTeroUniversoPlanedo,Maro [359-353],Maregujo-Novaro,sea — new/collection,,
359-353,Maretujo-Novaro,Planet,H-CI-MM-NW-WB,Binary Star System,MaroKosmo,10,,0.13,,,,Cryo-Giant,Hydro-Realm,,Chronos Isles,10.0,9.5,359,353,16,MontoSunAeroPlanedo,Maro [359-353],Maretujo-Novaro,sea — new/collection,,
359-353,Maregaro-Novaro,Planet,T-ES-V-FC-P,Binary Star System,MaroKosmo,11,,0.13,,,,,Ferrocore,Elysian Sphere,,11.0,10.5,359,353,16,MontoTeroGalaksioPlanedo,Maro [359-353],Maregaro-Novaro,sea — new/collection,,
334-1,Steletaro,Planet,CI-FC-T-NT-I,Trinary Star System,LumoStelo,1,,0.13,,,,Nebulae Titan,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,334,1,4,,SteloFajroSistemoPlanedo,Steletaro,star — small cluster,,
334-1,Marejaro-Novaro,Planet,S-H-DS-NW,Trinary Star System,LumoStelo,2,,0.13,,,,,Hydro-Realm,,,2.0,1.5,334,1,4,,MaroAkvoSteloPlanedo,Marejaro-Novaro,sea — new/collection,,
73-378,Montegejo-Noveto,Planet,W-T-WB-Mg,Solitary Star System,MontoKosmo,1,,0.13,,,,,,,,1.0,0.5,73,378,13,MaroMaroSistemoPlanedo,Monto [73-378],Montegejo-Noveto,mountain — new/small,,
73-378,Montujo-Novaro,Planet,CI-FC-C-I,Solitary Star System,MontoKosmo,2,,0.13,,,,Cryo-Giant,Ferrocore,Pioneera,Chronos Isles,2.0,1.5,73,378,13,MontoSkyGalaksioPlanedo,Monto [73-378],Montujo-Novaro,mountain — new/collection,,
73-378,Montaro-Novaro,Planet,OA-W-Mg-MM-WB,Solitary Star System,MontoKosmo,3,,0.13,,,,,Oceanara,,Mirage Moons,3.0,2.5,73,378,13,CieloLumoKosmoPlanedo,Monto [73-378],Montaro-Novaro,mountain — new/collection,,
73-378,Montido-Novaro,Planet,MM-NW-TL-P,Solitary Star System,MontoKosmo,4,,1.95,,,,Terraclade,,,Mirage Moons,4.0,3.5,73,378,13,FajroCieloAeroPlanedo,Monto [73-378],Montido-Novaro,mountain — new/collection,,
73-378,Montego-Novaro,Planet,NS-ES-WB-P,Solitary Star System,MontoKosmo,5,,0.13,,,,,,Elysian Sphere,,5.0,4.5,73,378,13,MaroSteloKosmoPlanedo,Monto [73-378],Montego-Novaro,mountain — new/collection,,
73-378,Monteto-Novaro,Planet,MS-FC-CI-PR,Solitary Star System,MontoKosmo,6,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Chronos Isles,6.0,5.5,73,378,13,MaroCieloGalaksioPlanedo,Monto [73-378],Monteto-Novaro,mountain — new/collection,,
73-378,Montejo-Novaro,Planet,FC-H-T-FL,Solitary Star System,MontoKosmo,7,,0.13,,,,,Ferrocore,Pioneera,,7.0,6.5,73,378,13,SteloSkyKosmoPlanedo,Monto [73-378],Montejo-Novaro,mountain — new/collection,,
61-266,Marideto-Novaro,Planet,DS-RG-NW-OA-H,Binary Star System,MaroOrbito,1,,0.13,,,,,Hydro-Realm,,,1.0,0.5,61,266,9,SteloSunOrbitoPlanedo,Maro [61-266],Marideto-Novaro,sea — new/collection,,
61-266,Maregumo-Novaro,Planet,T-NS-MM-CI-NW,Binary Star System,MaroOrbito,2,,0.13,,,,Cryo-Giant,,,Chronos Isles,2.0,1.5,61,266,9,CieloSunUniversoPlanedo,Maro [61-266],Maregumo-Novaro,sea — new/collection,,
338-335,Akvideto-Novego,Planet,V-RG-FC-WB,Solitary Star System,AkvoKosmo,1,,0.13,,,,,Ferrocore,Pioneera,,1.0,0.5,338,335,16,CieloMontoAeroPlanedo,Akvo [338-335],Akvideto-Novego,water — new/giant,,
338-335,Akvegumo-Novego,Planet,D-CI-TL-T-I,Solitary Star System,AkvoKosmo,2,,1.95,,,,Terraclade,,,Chronos Isles,2.0,1.5,338,335,16,NoktoMaroSteloPlanedo,Akvo [338-335],Akvegumo-Novego,water — new/giant,,
338-335,Akvetaro-Novego,Planet,ES-NT-T-RG,Solitary Star System,AkvoKosmo,3,,0.13,,,,Nebulae Titan,,Elysian Sphere,,3.0,2.5,338,335,16,FajroMoonSteloPlanedo,Akvo [338-335],Akvetaro-Novego,water — new/giant,,
338-335,Akvegejo-Novego,Planet,NW-OA-ES-MM,Solitary Star System,AkvoKosmo,4,,0.13,,,,,Oceanara,Elysian Sphere,Mirage Moons,4.0,3.5,338,335,16,MaroLightSteloPlanedo,Akvo [338-335],Akvegejo-Novego,water — new/giant,,
338-335,Akvujo-Noveto,Planet,RG-ES-T-LS,Solitary Star System,AkvoKosmo,5,,2.47,,,,Lilliput Sphere,,Elysian Sphere,,5.0,4.5,338,335,16,CieloVentoKosmoPlanedo,Akvo [338-335],Akvujo-Noveto,water — new/small,,
338-335,Akvaro-Noveto,Planet,T-P-Mg-W,Solitary Star System,AkvoKosmo,6,,0.13,,,,,,,,6.0,5.5,338,335,16,VentoSunOrbitoPlanedo,Akvo [338-335],Akvaro-Noveto,water — new/small,,
196-116,Astrido-Novaro,Planet,NT-FL-DS-CI,Solitary Star System,TeroGalaksio,1,,0.13,,,,Nebulae Titan,Aridane,Pioneera,Chronos Isles,1.0,0.5,196,116,6,LumoWaterSteloPlanedo,Tero [196-116],Astrido-Novaro,celestial body — new/collection,,
196-116,Astrego-Novaro,Planet,LS-CI-NW-Mg-MS,Solitary Star System,TeroGalaksio,2,,2.47,,,,Cryo-Giant,,,Chronos Isles,2.0,1.5,196,116,6,CieloSkySistemoPlanedo,Tero [196-116],Astrego-Novaro,celestial body — new/collection,,
196-116,Astreto-Novaro,Planet,Q-P-DS-LS-BH,Solitary Star System,TeroGalaksio,3,,2.47,,,,Lilliput Sphere,Hydro-Realm,,,3.0,2.5,196,116,6,LumoNoktoSteloPlanedo,Tero [196-116],Astreto-Novaro,celestial body — new/collection,,
196-116,Astrejo-Novaro,Planet,LS-W-PR-Mg-FC,Solitary Star System,TeroGalaksio,4,,2.47,,,,Proto-Realm,Ferrocore,Pioneera,,4.0,3.5,196,116,6,LumoVentoAeroPlanedo,Tero [196-116],Astrejo-Novaro,celestial body — new/collection,,
196-116,Astrumo-Novaro,Planet,BH-DS-FL-Q-V,Solitary Star System,TeroGalaksio,5,,0.13,,,,,Hydro-Realm,Pioneera,,5.0,4.5,196,116,6,CieloMontoSteloPlanedo,Tero [196-116],Astrumo-Novaro,celestial body — new/collection,,
196-116,Astregujo-Novaro,Planet,V-DS-Q-S,Solitary Star System,TeroGalaksio,6,,0.13,,,,,Aridane,Nihility,,6.0,5.5,196,116,6,LumoNoktoKosmoPlanedo,Tero [196-116],Astregujo-Novaro,celestial body — new/collection,,
196-116,Astretujo-Novaro,Planet,C-Q-FC-CR-P,Solitary Star System,TeroGalaksio,7,,0.13,,,,,Ferrocore,Pioneera,,7.0,6.5,196,116,6,LumoWaterKosmoPlanedo,Tero [196-116],Astretujo-Novaro,celestial body — new/collection,,
196-116,Astregaro-Novaro,Planet,CI-I-RG-MM-OA,Solitary Star System,TeroGalaksio,8,,0.13,,,,Cryo-Giant,Oceanara,,Chronos Isles,8.0,7.5,196,116,6,NoktoNoktoAeroPlanedo,Tero [196-116],Astregaro-Novaro,celestial body — new/collection,,
196-116,Astrejaro-Novaro,Planet,PR-D-Mg-V,Solitary Star System,TeroGalaksio,9,,0.13,,,,Proto-Realm,,Nihility,,9.0,8.5,196,116,6,TeroLightUniversoPlanedo,Tero [196-116],Astrejaro-Novaro,celestial body — new/collection,,
196-116,Astrideto-Novaro,Planet,TL-W-RG-DS-Mg,Solitary Star System,TeroGalaksio,10,,1.95,,,,Terraclade,Aridane,,,10.0,9.5,196,116,6,TeroSkyKosmoPlanedo,Tero [196-116],Astrideto-Novaro,celestial body — new/collection,,
18-294,Astregumo-Novaro,Planet,NT-CR-FL-P-DS,Trinary Star System,TeroPlanedo,1,,0.13,,,,Nebulae Titan,Carborane,Pioneera,,1.0,0.5,18,294,9,TeroWindUniversoPlanedo,Tero [18-294],Astregumo-Novaro,celestial body — new/collection,,
18-294,Astretaro-Novaro,Planet,Mg-FC-DS-Q-RG,Trinary Star System,TeroPlanedo,2,,0.13,,,,,Ferrocore,Pioneera,,2.0,1.5,18,294,9,SteloLightUniversoPlanedo,Tero [18-294],Astretaro-Novaro,celestial body — new/collection,,
18-294,Astregejo-Novaro,Planet,ES-C-CI-RG-NS,Trinary Star System,TeroPlanedo,3,,0.13,,,,Cryo-Giant,,Elysian Sphere,Chronos Isles,3.0,2.5,18,294,9,AkvoLandUniversoPlanedo,Tero [18-294],Astregejo-Novaro,celestial body — new/collection,,
18-294,Astrujo-2,Planet,D-BH-C-Q-NS,Trinary Star System,TeroPlanedo,4,,0.13,,,,,Hydro-Realm,,,4.0,3.5,18,294,9,MaroSteloGalaksioPlanedo,Tero [18-294],Astrujo-2,celestial body — variant,,
18-294,Astraro-2,Planet,PR-S-TL-V,Trinary Star System,TeroPlanedo,5,,1.95,,,,Proto-Realm,,Nihility,,5.0,4.5,18,294,9,MaroMaroPlanedoPlanedo,Tero [18-294],Astraro-2,celestial body — variant,,
185-174,Montumo-Novaro,Planet,V-MM-MS-NT,Binary Star System,MontoSistemo,1,,0.13,,,,Nebulae Titan,,Nihility,Mirage Moons,1.0,0.5,185,174,6,FajroMoonSistemoPlanedo,Monto [185-174],Montumo-Novaro,mountain — new/collection,,
185-174,Montegujo-Novaro,Planet,MS-Mg-C-BH-CI,Binary Star System,MontoSistemo,2,,0.13,,,,Cryo-Giant,Hydro-Realm,,Chronos Isles,2.0,1.5,185,174,6,VentoCieloUniversoPlanedo,Monto [185-174],Montegujo-Novaro,mountain — new/collection,,
185-174,Montetujo-Novaro,Planet,FL-D-C-OA-CR,Binary Star System,MontoSistemo,3,,0.13,,,,,Carborane,Pioneera,,3.0,2.5,185,174,6,AkvoSunAeroPlanedo,Monto [185-174],Montetujo-Novaro,mountain — new/collection,,
185-174,Montegaro-Novaro,Planet,T-Q-CI-NT-Mg,Binary Star System,MontoSistemo,4,,0.13,,,,Nebulae Titan,,,Chronos Isles,4.0,3.5,185,174,6,CieloSunKosmoPlanedo,Monto [185-174],Montegaro-Novaro,mountain — new/collection,,
185-174,Montejaro-Novaro,Planet,NT-NW-WB-H-PR,Binary Star System,MontoSistemo,5,,0.13,,,,Proto-Realm,Hydro-Realm,,,5.0,4.5,185,174,6,MaroFajroKosmoPlanedo,Monto [185-174],Montejaro-Novaro,mountain — new/collection,,
185-174,Montideto-Novaro,Planet,T-CI-I-W-WB,Binary Star System,MontoSistemo,6,,0.13,,,,Cryo-Giant,,,Chronos Isles,6.0,5.5,185,174,6,VentoLightSistemoPlanedo,Monto [185-174],Montideto-Novaro,mountain — new/collection,,
185-174,Montegumo-Novaro,Planet,DS-MS-BH-WB-CI,Binary Star System,MontoSistemo,7,,0.13,,,,Cryo-Giant,Hydro-Realm,,Chronos Isles,7.0,6.5,185,174,6,NoktoLumoOrbitoPlanedo,Monto [185-174],Montegumo-Novaro,mountain — new/collection,,
185-174,Montetaro-Novaro,Planet,Q-NW-WB-H-Mg,Binary Star System,MontoSistemo,8,,0.13,,,,,Hydro-Realm,,,8.0,7.5,185,174,6,NoktoFireUniversoPlanedo,Monto [185-174],Montetaro-Novaro,mountain — new/collection,,
124-413,Astrido-2,Planet,Q-I-W-MM,Solitary Star System,NoktoStelo,1,,0.13,,,,Cryo-Giant,,,Mirage Moons,1.0,0.5,124,413,14,SteloWindGalaksioPlanedo,Nokto [124-413],Astrido-2,celestial body — variant,,
124-413,Astrego-2,Planet,DS-ES-RG-OA-CR,Solitary Star System,NoktoStelo,2,,0.13,,,,,Carborane,Elysian Sphere,,2.0,1.5,124,413,14,FajroCieloPlanedoPlanedo,Nokto [124-413],Astrego-2,celestial body — variant,,
124-413,Astreto-2,Planet,BH-LS-PR-DS-H,Solitary Star System,NoktoStelo,3,,2.47,,,,Proto-Realm,Hydro-Realm,,,3.0,2.5,124,413,14,NoktoTeroUniversoPlanedo,Nokto [124-413],Astreto-2,celestial body — variant,,
124-413,Astrejo-2,Planet,MM-PR-NW-CI,Solitary Star System,NoktoStelo,4,,0.13,,,,Proto-Realm,,,Chronos Isles,4.0,3.5,124,413,14,SteloStarGalaksioPlanedo,Nokto [124-413],Astrejo-2,celestial body — variant,,
124-413,Astrumo-2,Planet,D-FL-I-OA-MS,Solitary Star System,NoktoStelo,5,,0.13,,,,Cryo-Giant,Oceanara,Pioneera,,5.0,4.5,124,413,14,FajroFireSteloPlanedo,Nokto [124-413],Astrumo-2,celestial body — variant,,
124-413,Astregujo-2,Planet,MM-RG-FC-PR-D,Solitary Star System,NoktoStelo,6,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Mirage Moons,6.0,5.5,124,413,14,MaroLumoKosmoPlanedo,Nokto [124-413],Astregujo-2,celestial body — variant,,
124-413,Astretujo-2,Planet,BH-C-V-W,Solitary Star System,NoktoStelo,7,,0.13,,,,,Hydro-Realm,Nihility,,7.0,6.5,124,413,14,VentoFajroKosmoPlanedo,Nokto [124-413],Astretujo-2,celestial body — variant,,
124-413,Astregaro-2,Planet,W-CI-RG-T-CR,Solitary Star System,NoktoStelo,8,,0.13,,,,Cryo-Giant,Carborane,,Chronos Isles,8.0,7.5,124,413,14,LumoLightSistemoPlanedo,Nokto [124-413],Astregaro-2,celestial body — variant,,
124-413,Astrejaro-2,Planet,V-W-T-NT-CR,Solitary Star System,NoktoStelo,9,,0.13,,,,Nebulae Titan,Carborane,Nihility,,9.0,8.5,124,413,14,LumoFireUniversoPlanedo,Nokto [124-413],Astrejaro-2,celestial body — variant,,
124-413,Astrideto-2,Planet,P-NS-DS-FL-FC,Solitary Star System,NoktoStelo,10,,0.13,,,,,Ferrocore,Pioneera,,10.0,9.5,124,413,14,CieloNoktoOrbitoPlanedo,Nokto [124-413],Astrideto-2,celestial body — variant,,
124-413,Astregumo-2,Planet,FC-NS-H-V,Solitary Star System,NoktoStelo,11,,0.13,,,,,Ferrocore,Pioneera,,11.0,10.5,124,413,14,LumoWindGalaksioPlanedo,Nokto [124-413],Astregumo-2,celestial body — variant,,
62-108,Astretaro-2,Planet,TL-MS-WB-V-BH,Solitary Star System,TeroUniverso,1,,1.95,,,,Terraclade,Hydro-Realm,Nihility,,1.0,0.5,62,108,5,NoktoMaroPlanedoPlanedo,Tero [62-108],Astretaro-2,celestial body — variant,,
62-108,Astregejo-2,Planet,NS-T-S-NT-WB,Solitary Star System,TeroUniverso,2,,0.13,,,,Nebulae Titan,,,,2.0,1.5,62,108,5,VentoCieloAeroPlanedo,Tero [62-108],Astregejo-2,celestial body — variant,,
62-108,Astrujo-3,Planet,NW-D-V-OA-LS,Solitary Star System,TeroUniverso,3,,2.47,,,,Lilliput Sphere,Oceanara,Nihility,,3.0,2.5,62,108,5,AkvoLumoSistemoPlanedo,Tero [62-108],Astrujo-3,celestial body — variant,,
134-196,Planedetujo,Planet,I-Q-PR-NW-CI,Binary Star System,LumoKosmo,1,,0.13,,,,Proto-Realm,,,Chronos Isles,1.0,0.5,134,196,6,,CieloFirePlanedoPlanedo,Planedetujo,planet — small world,,
134-196,Fajretaro-Nova,Planet,MS-OA-FC-S,Binary Star System,LumoKosmo,2,,0.13,,,,,Ferrocore,Pioneera,,2.0,1.5,134,196,6,,TeroFajroSteloPlanedo,Fajretaro-Nova,fire — new/variant,,
134-196,Montegejo-Novaro,Planet,FL-MM-NW-S-WB,Binary Star System,LumoKosmo,3,,0.13,,,,,,Pioneera,Mirage Moons,3.0,2.5,134,196,6,,MontoTeroKosmoPlanedo,Montegejo-Novaro,mountain — new/collection,,
134-196,Montujo-2,Planet,PR-Q-T-CR-D,Binary Star System,LumoKosmo,4,,0.13,,,,Proto-Realm,Carborane,,,4.0,3.5,134,196,6,,MontoMontoAeroPlanedo,Montujo-2,mountain — variant,,
134-196,Lumumo-Novego,Planet,D-FC-MM-DS-V,Binary Star System,LumoKosmo,5,,0.13,,,,,Ferrocore,Pioneera,Mirage Moons,5.0,4.5,134,196,6,,LumoFireAeroPlanedo,Lumumo-Novego,light — new/giant,,
134-196,Montaro-2,Planet,NW-Mg-MM-WB,Binary Star System,LumoKosmo,6,,0.13,,,,,,,Mirage Moons,6.0,5.5,134,196,6,,MontoCieloOrbitoPlanedo,Montaro-2,mountain — variant,,
318-170,Solaria Prime,Planet,DS-CR-V-W,Binary Star System,VentoPlanedo,1,,0.13,,,,,Carborane,Nihility,,1.0,0.5,318,170,8,LumoSkyGalaksioPlanedo,Vento [318-170],Ventegaro-Novego,wind — new/giant,,
318-170,Ventejaro-Novego,Planet,CI-PR-Q-BH-P,Binary Star System,VentoPlanedo,2,,0.13,,,,Proto-Realm,Hydro-Realm,,Chronos Isles,2.0,1.5,318,170,8,MaroNightSistemoPlanedo,Vento [318-170],Ventejaro-Novego,wind — new/giant,,
318-170,Ventideto-Novego,Planet,S-NT-CI-NW-PR,Binary Star System,VentoPlanedo,3,,0.13,,,,Proto-Realm,,,Chronos Isles,3.0,2.5,318,170,8,SteloSteloUniversoPlanedo,Vento [318-170],Ventideto-Novego,wind — new/giant,,
318-170,Ventegumo-Novego,Planet,CR-I-MM-NS-NW,Binary Star System,VentoPlanedo,4,,0.13,,,,Cryo-Giant,Carborane,,Mirage Moons,4.0,3.5,318,170,8,SteloWindAeroPlanedo,Vento [318-170],Ventegumo-Novego,wind — new/giant,,
318-170,Ventetaro-Novego,Planet,Q-W-H-RG-DS,Binary Star System,VentoPlanedo,5,,0.13,,,,,Hydro-Realm,,,5.0,4.5,318,170,8,MontoCieloSteloPlanedo,Vento [318-170],Ventetaro-Novego,wind — new/giant,,
318-170,Ventegejo-Novego,Planet,LS-MM-NT-FL-H,Binary Star System,VentoPlanedo,6,,2.47,,,,Nebulae Titan,Hydro-Realm,Pioneera,Mirage Moons,6.0,5.5,318,170,8,TeroFireSistemoPlanedo,Vento [318-170],Ventegejo-Novego,wind — new/giant,,
318-170,Ventujo-Noveto,Planet,FL-H-V-ES,Binary Star System,VentoPlanedo,7,,0.13,,,,,Hydro-Realm,Elysian Sphere,,7.0,6.5,318,170,8,CieloWindPlanedoPlanedo,Vento [318-170],Ventujo-Noveto,wind — new/small,,
318-170,Ventaro-Noveto,Planet,Q-NT-T-RG-PR,Binary Star System,VentoPlanedo,8,,0.13,,,,Proto-Realm,,,,8.0,7.5,318,170,8,FajroFireOrbitoPlanedo,Vento [318-170],Ventaro-Noveto,wind — new/small,,
318-170,Ventido-Noveto,Planet,NS-C-RG-FL,Binary Star System,VentoPlanedo,9,,0.13,,,,,,Pioneera,,9.0,8.5,318,170,8,FajroLightGalaksioPlanedo,Vento [318-170],Ventido-Noveto,wind — new/small,,
318-170,Ventego-Noveto,Planet,P-FC-C-NT-V,Binary Star System,VentoPlanedo,10,,0.13,,,,Nebulae Titan,Ferrocore,Pioneera,,10.0,9.5,318,170,8,AkvoFirePlanedoPlanedo,Vento [318-170],Ventego-Noveto,wind — new/small,,
318-170,Venteto-Noveto,Planet,V-T-OA-CR,Binary Star System,VentoPlanedo,11,,0.13,,,,,Carborane,Nihility,,11.0,10.5,318,170,8,NoktoFireOrbitoPlanedo,Vento [318-170],Venteto-Noveto,wind — new/small,,
165-109,Astraro-3,Planet,I-FL-Mg-H,Trinary Star System,TeroSistemo,1,,0.13,,,,Cryo-Giant,Hydro-Realm,Pioneera,,1.0,0.5,165,109,6,MontoStarSteloPlanedo,Tero [165-109],Astraro-3,celestial body — variant,,
165-109,Astrido-3,Planet,V-CR-CI-FL-H,Trinary Star System,TeroSistemo,2,,0.13,,,,Cryo-Giant,Carborane,Pioneera,Chronos Isles,2.0,1.5,165,109,6,MontoAkvoAeroPlanedo,Tero [165-109],Astrido-3,celestial body — variant,,
165-109,Astrego-3,Planet,RG-C-D-CI,Trinary Star System,TeroSistemo,3,,0.13,,,,Cryo-Giant,,,Chronos Isles,3.0,2.5,165,109,6,LumoFireSistemoPlanedo,Tero [165-109],Astrego-3,celestial body — variant,,
165-109,Astreto-3,Planet,NS-MS-V-MM,Trinary Star System,TeroSistemo,4,,0.13,,,,,,Nihility,Mirage Moons,4.0,3.5,165,109,6,FajroAkvoUniversoPlanedo,Tero [165-109],Astreto-3,celestial body — variant,,
